order_id,customer_id,product_id,product_name,category,price,quantity,payment_method,order_date,delivery_time_days,region,returned,shipping_cost,total_amount,customer_age,customer_gender
O00057,C01924,P0013,Dumbbells,Sports,72.34,2,Debit Card,2024-09-03,2,South America,No,11.52,156.2,26,Male
O00058,C02812,P0007,Jacket,Fashion,163.21,1,Gift Card,2023-12-29,3,Africa,No,18.55,181.76,23,Female
O00059,C02490,P0016,Organic Snacks Pack,Grocery,24.02,2,Gift Card,2024-10-27,4,South America,No,9.2,57.24,27,Female
O00060,C02874,P0007,Jacket,Fashion,141.41,2,PayPal,2023-12-20,6,Africa,No,14.46,297.28,37,Male
O00061,C01402,P0007,Jacket,Fashion,153.99,4,Debit Card,2024-05-02,12,Europe,No,11.7,627.66,36,Female
O00062,C00607,P0002,Laptop,Electronics,1085.86,3,Gift Card,2025-09-06,3,South America,No,9.9,3267.48,42,Male
O00063,C02116,P0014,Skin Care Set,Beauty,88.71,4,Debit Card,2025-04-04,2,North America,No,12.68,367.52,21,Male
O00064,C03399,P0012,Yoga Mat,Sports,31.67,3,Credit Card,2025-12-02,14,Africa,No,9.38,104.39,47,Female
O00065,C01235,P0008,Vacuum Cleaner,Home,270.87,3,PayPal,2023-10-07,5,South America,No,7.43,820.04,34,Female
O00066,C03791,P0015,Perfume,Beauty,117.27,3,Gift Card,2023-11-28,9,Asia,No,15.96,367.77,55,Female
O00067,C01659,P0008,Vacuum Cleaner,Home,266.99,4,Debit Card,2025-12-09,1,Asia,No,10.55,1078.51,15,Female
O00068,C02440,P0006,Sneakers,Fashion,109.86,2,PayPal,2024-07-16,7,Africa,No,10.71,230.43,58,Female
O00069,C00324,P0001,Smartphone,Electronics,648.44,1,Credit Card,2023-11-15,7,South America,No,9.63,658.07,24,Male
O00070,C03784,P0015,Perfume,Beauty,106.28,2,Gift Card,2023-05-14,12,South America,No,14.32,226.88,22,Male
O00071,C01622,P0008,Vacuum Cleaner,Home,267.84,3,Credit Card,2025-02-24,7,Asia,No,20.31,823.83,12,Female
O00072,C02898,P0015,Perfume,Beauty,115.58,4,Gift Card,2025-05-14,11,Europe,No,22.07,484.39,49,Male
O00073,C00514,P0015,Perfume,Beauty,108.59,4,Debit Card,2024-11-25,11,South America,No,5.58,439.94,29,Female
O00074,C03604,P0005,Jeans,Fashion,64.67,4,Credit Card,2025-03-23,11,South America,No,15.68,274.36,66,Male
O00075,C01797,P0005,Jeans,Fashion,63.33,4,PayPal,2024-06-22,10,Europe,No,8.63,261.95,48,Female
O00076,C01499,P0017,Coffee Beans,Grocery,17.38,1,Gift Card,2025-02-21,9,Asia,Yes,20.22,37.6,22,Female
O00077,C02398,P0005,Jeans,Fashion,58.65,3,Debit Card,2023-04-23,9,North America,No,19.98,195.93,21,Female
O00078,C00607,P0008,Vacuum Cleaner,Home,262.71,1,Debit Card,2024-02-19,9,Europe,No,23.99,286.7,23,Male
O00079,C01840,P0002,Laptop,Electronics,1193.65,4,PayPal,2024-03-28,7,Asia,No,7.29,4781.89,40,Female
O00080,C00607,P0002,Laptop,Electronics,1225.41,3,PayPal,2023-08-29,2,North America,No,24.27,3700.5,38,Male
O00081,C02398,P0014,Skin Care Set,Beauty,92.29,1,Debit Card,2025-02-13,3,North America,No,16.52,108.81,48,Female
O00082,C01384,P0007,Jacket,Fashion,155.72,4,Credit Card,2023-08-03,4,Africa,No,17.54,640.42,34,Female
O00083,C02803,P0001,Smartphone,Electronics,677.64,3,PayPal,2025-02-03,11,North America,No,13.57,2046.49,23,Male
O00084,C03243,P0015,Perfume,Beauty,117.09,1,Debit Card,2025-01-17,10,South America,No,7.11,124.2,39,Female
O00085,C00166,P0016,Organic Snacks Pack,Grocery,26.17,4,Gift Card,2024-07-13,5,South America,No,24.31,128.99,37,Female
O00086,C02803,P0007,Jacket,Fashion,152.77,3,PayPal,2024-05-23,11,South America,No,11.45,469.76,12,Male
O00087,C00718,P0002,Laptop,Electronics,1260.11,1,Credit Card,2025-02-21,7,South America,Yes,16.4,1276.51,46,Female
O00088,C03540,P0009,Coffee Maker,Home,84.27,3,PayPal,2024-06-19,8,Africa,No,9.24,262.05,49,Female
O00089,C03147,P0003,Wireless Earbuds,Electronics,130.44,1,Debit Card,2024-02-02,9,South America,No,15.33,145.77,18,Male
O00090,C02361,P0015,Perfume,Beauty,111.21,1,Gift Card,2025-09-08,10,North America,No,9.81,121.02,19,Female
O00091,C02398,P0010,Building Blocks,Toys,43.15,4,PayPal,2024-05-19,11,South America,No,13.09,185.69,39,Female
O00092,C01761,P0017,Coffee Beans,Grocery,17.73,2,Gift Card,2024-11-14,5,Asia,Yes,19.92,55.38,38,Female
O00093,C02398,P0015,Perfume,Beauty,104.53,2,Credit Card,2024-02-05,4,Africa,No,7.41,216.47,27,Female
O00094,C00041,P0010,Building Blocks,Toys,42.22,3,Credit Card,2024-07-26,5,Europe,No,19.77,146.43,51,Female
O00095,C03161,P0003,Wireless Earbuds,Electronics,121.97,1,PayPal,2023-02-04,4,North America,No,8.59,130.56,51,Male
O00096,C02398,P0005,Jeans,Fashion,59.63,3,Credit Card,2023-09-22,13,North America,No,18.95,197.84,18,Female
O00097,C02253,P0007,Jacket,Fashion,143.53,3,Credit Card,2024-12-04,11,Asia,No,14.57,445.16,33,Male
O00098,C02803,P0004,Smart TV,Electronics,921.89,3,Credit Card,2025-10-10,2,Europe,No,6.31,2771.98,26,Male
O00099,C03850,P0002,Laptop,Electronics,1274.67,2,Credit Card,2023-06-30,6,Africa,Yes,23.98,2573.32,47,Male
O00100,C01761,P0013,Dumbbells,Sports,71.49,4,Gift Card,2024-04-13,2,South America,No,20.81,306.77,42,Female
O00101,C01827,P0003,Wireless Earbuds,Electronics,138.29,4,Credit Card,2024-09-23,5,Europe,No,24.8,577.96,64,Male
O00102,C03366,P0007,Jacket,Fashion,141.33,3,Debit Card,2023-11-24,1,Africa,No,18.21,442.2,26,Male
O00103,C03589,P0001,Smartphone,Electronics,650.98,4,Credit Card,2025-08-26,13,Europe,No,13.17,2617.09,29,Female
O00104,C00789,P0015,Perfume,Beauty,114.55,2,Debit Card,2025-07-24,6,Asia,No,19.06,248.16,23,Male
O00105,C02398,P0008,Vacuum Cleaner,Home,246.26,1,Debit Card,2023-11-08,6,North America,Yes,15.89,262.15,21,Female
O00106,C02664,P0001,Smartphone,Electronics,652.3,4,Credit Card,2024-08-20,13,South America,No,11.15,2620.35,28,Female
O00107,C03791,P0007,Jacket,Fashion,144.12,2,Gift Card,2024-07-17,2,North America,No,13.05,301.29,50,Female
O00108,C03557,P0001,Smartphone,Electronics,753.44,1,Credit Card,2024-06-02,5,Europe,No,19.69,773.13,18,Male
O00109,C03070,P0007,Jacket,Fashion,160.08,4,Credit Card,2023-02-18,4,Europe,No,16.5,656.82,35,Female
O00110,C00061,P0004,Smart TV,Electronics,1002.79,4,Gift Card,2024-07-29,4,South America,No,13.84,4025.0,46,Male
O00111,C02495,P0014,Skin Care Set,Beauty,84.49,2,Debit Card,2024-10-25,6,Asia,No,13.17,182.15,73,Male
O00112,C02803,P0004,Smart TV,Electronics,1037.7,1,Gift Card,2025-04-06,2,North America,No,10.76,1048.46,52,Male
O00113,C03853,P0006,Sneakers,Fashion,114.06,3,Gift Card,2025-04-13,9,South America,No,7.32,349.5,31,Male
O00114,C01907,P0001,Smartphone,Electronics,655.32,2,Credit Card,2025-10-23,12,Europe,No,12.24,1322.88,19,Female
O00115,C02694,P0006,Sneakers,Fashion,121.18,1,Credit Card,2025-06-22,2,North America,No,23.55,144.73,13,Female
O00116,C01305,P0012,Yoga Mat,Sports,31.26,4,Credit Card,2023-02-04,5,Europe,No,11.22,136.26,18,Female
O00117,C00607,P0008,Vacuum Cleaner,Home,248.07,4,PayPal,2023-11-18,10,Africa,No,7.35,999.63,43,Female
O00118,C02803,P0009,Coffee Maker,Home,88.48,4,Gift Card,2025-08-31,13,Africa,No,14.65,368.57,47,Male
O00119,C02490,P0002,Laptop,Electronics,1172.06,2,Credit Card,2025-11-12,9,Asia,No,23.44,2367.56,12,Male
O00120,C02803,P0004,Smart TV,Electronics,967.01,3,PayPal,2024-07-07,11,Asia,No,20.75,2921.78,32,Male
O00121,C01761,P0017,Coffee Beans,Grocery,19.31,4,PayPal,2025-09-24,7,Africa,No,13.93,91.17,33,Female
O00122,C01402,P0004,Smart TV,Electronics,990.08,1,Gift Card,2024-01-28,1,Europe,No,11.44,1001.52,36,Male
O00123,C01444,P0004,Smart TV,Electronics,907.82,1,Debit Card,2025-02-25,2,South America,No,19.89,927.71,31,Female
O00124,C03161,P0014,Skin Care Set,Beauty,78.65,4,Gift Card,2024-11-16,12,North America,Yes,24.31,338.91,29,Male
O00125,C02803,P0004,Smart TV,Electronics,902.17,4,Gift Card,2023-11-19,10,Asia,Yes,7.88,3616.56,33,Male
O00126,C03214,P0006,Sneakers,Fashion,122.96,3,Gift Card,2023-06-20,1,Asia,No,12.95,381.83,27,Female
O00127,C02543,P0007,Jacket,Fashion,156.56,1,Debit Card,2023-03-21,6,Asia,No,20.19,176.75,32,Male
O00128,C01402,P0010,Building Blocks,Toys,47.22,4,Gift Card,2023-07-27,2,Europe,No,13.68,202.56,41,Male
O00129,C00789,P0009,Coffee Maker,Home,97.26,2,PayPal,2023-05-01,10,Asia,No,5.92,200.44,13,Female
O00130,C01795,P0004,Smart TV,Electronics,928.18,4,Debit Card,2024-01-10,7,North America,No,15.62,3728.34,17,Male
O00131,C03353,P0017,Coffee Beans,Grocery,18.43,3,Gift Card,2023-10-27,2,Asia,No,9.82,65.11,45,Male
O00132,C01915,P0004,Smart TV,Electronics,950.11,1,Debit Card,2025-08-16,13,North America,No,5.19,955.3,26,Female
O00133,C02871,P0004,Smart TV,Electronics,1087.96,4,PayPal,2024-09-10,8,South America,No,24.75,4376.59,49,Female
O00134,C03452,P0006,Sneakers,Fashion,112.78,1,Debit Card,2025-09-22,6,South America,No,12.69,125.47,38,Male
O00135,C01338,P0017,Coffee Beans,Grocery,18.27,4,Gift Card,2024-09-02,1,Asia,No,24.85,97.93,27,Male
O00136,C00607,P0012,Yoga Mat,Sports,30.4,1,PayPal,2023-04-17,8,Europe,No,18.72,49.12,35,Female
O00137,C00930,P0003,Wireless Earbuds,Electronics,121.75,1,Credit Card,2024-06-03,1,North America,No,8.8,130.55,35,Male
O00138,C02834,P0003,Wireless Earbuds,Electronics,136.45,3,Credit Card,2025-01-23,14,Asia,No,5.67,415.02,36,Male
O00139,C02610,P0015,Perfume,Beauty,115.44,4,PayPal,2023-10-04,13,Europe,No,8.51,470.27,12,Female
O00140,C01885,P0006,Sneakers,Fashion,129.94,3,Credit Card,2024-09-02,9,South America,No,23.88,413.7,35,Female
O00141,C02416,P0001,Smartphone,Electronics,648.78,3,Credit Card,2025-03-30,5,South America,No,24.33,1970.67,12,Female
O00142,C01440,P0016,Organic Snacks Pack,Grocery,23.82,1,Gift Card,2025-01-30,5,Asia,No,7.47,31.29,41,Female
O00143,C02630,P0001,Smartphone,Electronics,723.44,4,Credit Card,2024-11-08,14,South America,No,14.43,2908.19,20,Male
O00144,C02182,P0013,Dumbbells,Sports,72.09,3,PayPal,2023-04-09,7,South America,No,7.33,223.6,60,Male
O00145,C00435,P0001,Smartphone,Electronics,642.69,4,Gift Card,2023-10-11,6,Asia,No,22.75,2593.51,26,Female
O00146,C01402,P0004,Smart TV,Electronics,1016.45,1,Gift Card,2025-05-05,6,Africa,No,19.53,1035.98,51,Male
O00147,C02416,P0004,Smart TV,Electronics,1086.72,1,Gift Card,2025-02-03,8,South America,No,10.59,1097.31,24,Male
O00148,C01587,P0002,Laptop,Electronics,1285.31,1,Credit Card,2025-01-28,10,South America,No,6.99,1292.3,41,Female
O00149,C00166,P0013,Dumbbells,Sports,65.66,1,Debit Card,2025-07-26,6,Africa,No,7.44,73.1,29,Male
O00150,C01402,P0001,Smartphone,Electronics,636.17,2,Credit Card,2023-09-21,14,Africa,Yes,11.67,1284.01,31,Male
O00151,C02398,P0005,Jeans,Fashion,60.02,3,Debit Card,2024-04-28,4,Africa,Yes,21.26,201.32,54,Female
O00152,C02172,P0008,Vacuum Cleaner,Home,238.86,2,Debit Card,2023-09-30,4,North America,No,24.68,502.4,30,Female
O00153,C02653,P0016,Organic Snacks Pack,Grocery,23.16,3,Credit Card,2024-05-08,14,Europe,No,12.16,81.64,52,Female
O00154,C00515,P0006,Sneakers,Fashion,109.26,1,Credit Card,2025-12-19,11,South America,No,19.83,129.09,35,Male
O00155,C02806,P0009,Coffee Maker,Home,95.0,3,Debit Card,2023-08-18,6,Africa,No,15.26,300.26,25,Female
O00156,C02063,P0001,Smartphone,Electronics,730.77,1,Gift Card,2025-12-09,2,North America,Yes,23.18,753.95,31,Female
O00157,C02803,P0008,Vacuum Cleaner,Home,274.93,4,Gift Card,2025-05-29,2,South America,Yes,21.95,1121.67,53,Male
O00158,C01070,P0012,Yoga Mat,Sports,32.4,1,Debit Card,2023-11-06,3,Asia,No,11.44,43.84,61,Male
O00159,C02253,P0003,Wireless Earbuds,Electronics,125.93,4,Gift Card,2024-09-01,13,North America,No,16.95,520.67,33,Female
O00160,C02398,P0008,Vacuum Cleaner,Home,267.64,4,Gift Card,2024-03-22,3,Europe,Yes,18.02,1088.58,25,Female
O00161,C01106,P0015,Perfume,Beauty,106.46,2,PayPal,2025-05-07,10,South America,No,14.07,226.99,53,Male
O00162,C00607,P0003,Wireless Earbuds,Electronics,133.26,4,Credit Card,2023-11-15,2,North America,No,12.49,545.53,13,Female
O00163,C01266,P0008,Vacuum Cleaner,Home,229.66,1,Credit Card,2025-02-08,10,Africa,No,6.93,236.59,51,Male
O00164,C01618,P0007,Jacket,Fashion,151.85,4,Gift Card,2025-04-27,5,North America,No,18.4,625.8,58,Female
O00165,C00789,P0003,Wireless Earbuds,Electronics,131.59,2,Debit Card,2025-11-11,12,South America,No,12.03,275.21,70,Male
O00166,C01020,P0016,Organic Snacks Pack,Grocery,26.74,2,PayPal,2025-01-28,14,Africa,No,12.0,65.48,34,Male
O00167,C00162,P0016,Organic Snacks Pack,Grocery,26.54,1,Credit Card,2023-03-01,2,Europe,No,21.9,48.44,59,Female
O00168,C03498,P0015,Perfume,Beauty,114.46,3,Credit Card,2024-12-02,3,Europe,No,11.18,354.56,12,Female
O00169,C02852,P0005,Jeans,Fashion,59.78,3,Credit Card,2023-10-24,2,Africa,No,13.02,192.36,36,Male
O00170,C02580,P0005,Jeans,Fashion,57.54,2,PayPal,2023-11-25,11,Asia,No,14.07,129.15,33,Female
O00171,C02664,P0001,Smartphone,Electronics,752.59,3,PayPal,2023-04-18,10,South America,No,8.11,2265.88,25,Male
O00172,C00451,P0015,Perfume,Beauty,109.68,4,Credit Card,2024-07-19,1,Asia,No,13.84,452.56,45,Male
O00173,C02798,P0009,Coffee Maker,Home,83.0,4,Credit Card,2025-09-29,2,Europe,No,18.56,350.56,12,Female
O00174,C01402,P0013,Dumbbells,Sports,76.78,4,Debit Card,2024-02-29,10,Europe,No,6.1,313.22,76,Female
O00175,C00457,P0017,Coffee Beans,Grocery,17.24,2,Debit Card,2025-10-21,7,Europe,No,7.4,41.88,19,Female
O00176,C03688,P0004,Smart TV,Electronics,1005.51,2,Gift Card,2025-01-01,14,North America,No,9.6,2020.62,31,Male
O00177,C01299,P0017,Coffee Beans,Grocery,16.27,4,Gift Card,2024-10-09,6,South America,No,23.42,88.5,12,Female
O00178,C01533,P0017,Coffee Beans,Grocery,16.61,4,Gift Card,2024-11-02,4,Asia,No,5.42,71.86,43,Male
O00179,C02398,P0001,Smartphone,Electronics,690.15,2,Credit Card,2025-06-17,5,South America,Yes,7.12,1387.42,23,Female
O00180,C02398,P0015,Perfume,Beauty,115.41,4,Credit Card,2023-12-17,3,Africa,No,9.43,471.07,43,Male
O00181,C00961,P0008,Vacuum Cleaner,Home,270.3,3,Credit Card,2023-11-05,9,Europe,No,11.99,822.89,12,Male
O00182,C00424,P0013,Dumbbells,Sports,65.76,3,Gift Card,2023-06-10,7,South America,No,17.05,214.33,47,Male
O00183,C02653,P0007,Jacket,Fashion,157.8,4,Debit Card,2024-10-29,10,South America,No,13.98,645.18,43,Female
O00184,C01526,P0010,Building Blocks,Toys,44.72,2,PayPal,2024-07-22,7,Africa,Yes,17.63,107.07,38,Male
O00185,C03604,P0005,Jeans,Fashion,56.76,1,PayPal,2023-05-03,5,North America,No,14.04,70.8,34,Female
O00186,C03197,P0001,Smartphone,Electronics,715.08,3,Gift Card,2025-08-11,1,Africa,Yes,15.14,2160.38,19,Male
O00187,C01622,P0016,Organic Snacks Pack,Grocery,24.11,2,Gift Card,2023-11-11,13,North America,No,14.51,62.73,15,Male
O00188,C03703,P0017,Coffee Beans,Grocery,19.74,3,Debit Card,2023-12-26,10,South America,No,6.69,65.91,44,Male
O00189,C03703,P0017,Coffee Beans,Grocery,18.09,2,PayPal,2025-01-21,7,South America,No,17.2,53.38,34,Female
O00190,C01575,P0004,Smart TV,Electronics,1053.84,2,Credit Card,2023-04-24,13,Asia,No,18.58,2126.26,29,Female
O00191,C02505,P0014,Skin Care Set,Beauty,85.99,3,PayPal,2024-06-06,10,North America,No,12.73,270.7,45,Male
O00192,C00607,P0016,Organic Snacks Pack,Grocery,27.08,3,Credit Card,2025-03-19,7,Asia,No,11.2,92.44,38,Male
O00193,C03394,P0015,Perfume,Beauty,113.16,1,Gift Card,2023-09-25,2,Africa,No,11.57,124.73,32,Male
O00194,C00789,P0009,Coffee Maker,Home,81.33,1,Gift Card,2024-03-20,4,Europe,No,11.18,92.51,29,Female
O00195,C03892,P0005,Jeans,Fashion,64.9,3,Credit Card,2024-09-03,4,Asia,Yes,8.1,202.8,59,Male
O00196,C00729,P0002,Laptop,Electronics,1223.34,3,Gift Card,2024-01-12,13,North America,No,8.09,3678.11,40,Male
O00197,C02063,P0006,Sneakers,Fashion,116.74,2,Gift Card,2025-07-04,4,Europe,No,19.39,252.87,31,Female
O00198,C02816,P0016,Organic Snacks Pack,Grocery,24.05,3,PayPal,2025-08-24,9,Africa,No,21.17,93.32,39,Male
O00199,C01850,P0004,Smart TV,Electronics,991.34,3,Debit Card,2025-02-27,3,Europe,No,10.64,2984.66,33,Female
O00200,C00435,P0010,Building Blocks,Toys,48.36,4,Credit Card,2025-09-17,4,Africa,Yes,6.04,199.48,36,Female
O00201,C01402,P0010,Building Blocks,Toys,43.07,3,Debit Card,2024-07-18,13,South America,No,20.26,149.47,12,Female
O00202,C02514,P0008,Vacuum Cleaner,Home,272.32,2,Credit Card,2025-07-18,1,South America,Yes,9.44,554.08,40,Female
O00203,C01761,P0008,Vacuum Cleaner,Home,244.82,1,PayPal,2025-03-07,8,Europe,No,12.48,257.3,58,Male
O00204,C01761,P0016,Organic Snacks Pack,Grocery,24.09,3,Debit Card,2024-11-23,12,North America,No,6.98,79.25,38,Male
O00205,C02416,P0003,Wireless Earbuds,Electronics,139.77,2,Gift Card,2023-10-18,5,Africa,No,14.45,293.99,20,Female
O00206,C03343,P0016,Organic Snacks Pack,Grocery,27.03,4,Gift Card,2024-03-23,11,North America,No,5.38,113.5,12,Male
O00207,C02664,P0009,Coffee Maker,Home,85.28,4,Gift Card,2024-05-09,5,North America,No,7.44,348.56,40,Female
O00208,C04090,P0016,Organic Snacks Pack,Grocery,26.68,3,Debit Card,2023-02-09,12,Asia,No,15.0,95.04,44,Male
O00209,C02834,P0004,Smart TV,Electronics,899.41,4,Credit Card,2025-05-09,1,Africa,No,12.06,3609.7,48,Male
O00210,C03356,P0003,Wireless Earbuds,Electronics,117.85,4,Gift Card,2025-11-11,11,South America,No,15.52,486.92,30,Male
O00211,C01622,P0014,Skin Care Set,Beauty,87.31,3,PayPal,2024-06-09,5,North America,No,24.62,286.55,43,Male
O00212,C02642,P0003,Wireless Earbuds,Electronics,122.32,3,Debit Card,2023-08-07,14,North America,No,18.14,385.1,21,Female
O00213,C02803,P0006,Sneakers,Fashion,121.1,2,Gift Card,2023-12-31,14,Europe,Yes,21.27,263.47,35,Female
O00214,C00457,P0014,Skin Care Set,Beauty,77.57,4,PayPal,2025-08-01,7,Europe,No,20.52,330.8,15,Male
O00215,C02715,P0012,Yoga Mat,Sports,31.75,4,Gift Card,2024-10-14,13,Africa,No,22.72,149.72,36,Female
O00216,C00208,P0017,Coffee Beans,Grocery,17.11,1,PayPal,2024-02-02,4,North America,No,20.07,37.18,37,Female
O00217,C02398,P0017,Coffee Beans,Grocery,17.18,4,Gift Card,2025-06-19,3,South America,No,20.99,89.71,18,Female
